line_id,origin_canton,line_name,stop_id,num_cantons,canton_list
96-359-4-j24-1,"['Luzern', 'Zug']",N73,130,2,"Luzern, Zug"
91-42-j24-1,"['Aargau', 'Zurich']",S42,126,2,"Aargau, Zurich"
92-520-j24-1,"['Fribourg', 'Bern']",520,125,2,"Bern, Fribourg"
93-251-7-j24-1,"['Luzern', 'Obwalden']",2517,124,2,"Luzern, Obwalden"
91-21-D-j24-1,"['Ticino', 'Schwyz']",IC21,120,2,"Schwyz, Ticino"
96-128-3-j24-1,"['Jura', 'Bern']",N23,118,2,"Bern, Jura"
96-198-1-j24-1,"['Zurich', 'Aargau']",N51,117,2,"Aargau, Zurich"
96-128-1-j24-1,"['Bern', 'Jura']",N21,116,2,"Bern, Jura"
96-197-8-j24-1,"['Schaffhausen', 'Zurich']",N69,116,2,"Schaffhausen, Zurich"
92-N91-j24-1,"['StGallen', 'Thurgau']",N91,115,2,"StGallen, Thurgau"
96-225-0-j24-1,"['AppenzellAusserrhoden', 'AppenzellInnerrhoden']",228,115,2,"AppenzellAusserrhoden, AppenzellInnerrhoden"
92-N60-A-j24-1,"['Aargau', 'Solothurn']",N60,108,2,"Aargau, Solothurn"
92-N32-j24-1,"['Zurich', 'Aargau']",N32,106,2,"Aargau, Zurich"
96-359-2-j24-1,"['Bern', 'Luzern']",N66,104,2,"Bern, Luzern"
91-N-Y-j24-1,"['Basel-Stadt', 'Zurich']",ICE,102,2,"Basel-Stadt, Zurich"
92-333-j24-1,"['StGallen', 'AppenzellInnerrhoden']",333,102,2,"AppenzellInnerrhoden, StGallen"
92-N33-A-j24-1,"['Schwyz', 'Luzern']",N33,102,2,"Luzern, Schwyz"
93-65-j24-1,"['Bern', 'Valais']",65,100,2,"Bern, Valais"
91-19-Y-j24-1,"['Schaffhausen', 'Zurich']",IC,99,2,"Schaffhausen, Zurich"
92-N4-A-j24-1,"['Luzern', 'Nidwalden']",N4,99,2,"Luzern, Nidwalden"
92-202-D-j24-1,"['Thurgau', 'Schaffhausen']",202,96,2,"Schaffhausen, Thurgau"
92-259-j24-1,"['Fribourg', 'Bern']",259,96,2,"Bern, Fribourg"
96-198-0-j24-1,"['Zurich', 'Aargau']",N22,96,2,"Aargau, Zurich"
91-65-A-j24-1,"['Zurich', 'Schaffhausen']",S65,94,2,"Schaffhausen, Zurich"
92-N23-j24-1,"['Solothurn', 'Aargau']",N23,94,2,"Aargau, Solothurn"
91-81-j24-1,"['StGallen', 'AppenzellAusserrhoden']",S81,90,2,"AppenzellAusserrhoden, StGallen"
92-546-j24-1,"['Fribourg', 'Bern']",546,90,2,"Bern, Fribourg"
91-2G-Y-j24-1,"['StGallen', 'Zurich']",EC,89,2,"StGallen, Zurich"
92-M51-j24-1,"['Solothurn', 'Bern']",M51,88,2,"Bern, Solothurn"
96-129-0-j24-1,"['Jura', 'Bern']",M31,87,2,"Bern, Jura"
92-M53-j24-1,"['Solothurn', 'Bern']",M53,86,2,"Bern, Solothurn"
96-198-6-j24-1,"['Zurich', 'Aargau']",N50,84,2,"Aargau, Zurich"
96-359-9-j24-1,"['Luzern', 'Aargau']",N81,84,2,"Aargau, Luzern"
91-37-B-j24-1,"['Aargau', 'Schaffhausen']",37,78,2,"Aargau, Schaffhausen"
92-403-C-j24-1,"['Schaffhausen', 'Thurgau']",403,76,2,"Schaffhausen, Thurgau"
92-N15-j24-1,"['Fribourg', 'Bern']",N15,76,2,"Bern, Fribourg"
92-N24-A-j24-1,"['Fribourg', 'Vaud']",N24,76,2,"Fribourg, Vaud"
92-151-A-j24-1,"['Neuchatel', 'Bern']",151,74,2,"Bern, Neuchatel"
92-N31-j24-1,"['Zurich', 'Aargau']",N31,72,2,"Aargau, Zurich"
92-891-j24-1,"['Vaud', 'Geneve']",891,68,2,"Geneve, Vaud"
92-163-B-j24-1,"['Basel-Stadt', 'Basel-Landschaft']",163,66,2,"Basel-Landschaft, Basel-Stadt"
92-315-A-j24-1,"['Aargau', 'Zurich']",315,66,2,"Aargau, Zurich"
92-N14-A-j24-1,"['Fribourg', 'Vaud']",N14,66,2,"Fribourg, Vaud"
96-166-3-j24-1,"['Aargau', 'Zurich']",N73,64,2,"Aargau, Zurich"
92-N1-E-j24-1,"['StGallen', 'Graubunden']",N1,60,2,"Graubunden, StGallen"
92-N13-A-j24-1,"['Fribourg', 'Vaud']",N13,59,2,"Fribourg, Vaud"
92-541-A-j24-1,"['Schwyz', 'Uri']",541,57,2,"Schwyz, Uri"
92-526-j24-1,"['Zug', 'Schwyz']",526,56,2,"Schwyz, Zug"
94-360-2-j24-1,"['Luzern', 'Nidwalden']",3602,56,2,"Luzern, Nidwalden"
