line_id,origin_canton,line_name,stop_id,num_cantons,canton_list
91-14-j24-1,"['Basel-Stadt', 'Basel-Landschaft']",14,8734,2,"Basel-Landschaft, Basel-Stadt"
92-34-j24-1,"['Basel-Stadt', 'Basel-Landschaft']",34,8374,2,"Basel-Landschaft, Basel-Stadt"
91-3-j24-1,"['Basel-Stadt', 'Basel-Landschaft']",3,6434,2,"Basel-Landschaft, Basel-Stadt"
92-502-A-j24-1,"['Luzern', 'Schwyz']",502,5840,2,"Luzern, Schwyz"
92-11-F-j24-1,"['StGallen', 'Graubunden']",11,5098,2,"Graubunden, StGallen"
92-60-E-j24-1,"['Vaud', 'Geneve']",60,4735,2,"Geneve, Vaud"
92-38-j24-1,"['Basel-Landschaft', 'Basel-Stadt']",38,4652,2,"Basel-Landschaft, Basel-Stadt"
92-2-E-j24-1,"['Aargau', 'Solothurn']",2,4435,2,"Aargau, Solothurn"
92-33-j24-1,"['Basel-Landschaft', 'Basel-Stadt']",33,4267,2,"Basel-Landschaft, Basel-Stadt"
91-20-F-j24-1,"['Aargau', 'Zurich']",20,4077,2,"Aargau, Zurich"
92-64-D-j24-1,"['Basel-Landschaft', 'Basel-Stadt']",64,3778,2,"Basel-Landschaft, Basel-Stadt"
92-1-L-j24-1,"['Solothurn', 'Bern']",1,3466,2,"Bern, Solothurn"
92-2-U-j24-1,"['Thurgau', 'Schaffhausen']",2,3419,2,"Schaffhausen, Thurgau"
92-13-B-j24-1,"['StGallen', 'Graubunden']",13,3404,2,"Graubunden, StGallen"
96-363-0-j24-1,"['Nidwalden', 'Uri']",311,3324,2,"Nidwalden, Uri"
96-120-8-j24-1,"['Jura', 'Bern']",8,3149,2,"Bern, Jura"
96-352-3-j24-1,"['Luzern', 'Zug']",73,3044,2,"Luzern, Zug"
92-47-B-j24-1,"['Basel-Landschaft', 'Basel-Stadt']",47,2992,2,"Basel-Landschaft, Basel-Stadt"
92-2-K-j24-1,"['Solothurn', 'Bern']",2,2890,2,"Bern, Solothurn"
96-240-3-j24-1,"['Schwyz', 'StGallen']",521,2846,2,"Schwyz, StGallen"
93-253-4-j24-1,"['Obwalden', 'Nidwalden']",2534,2841,2,"Nidwalden, Obwalden"
92-72-j24-1,"['Basel-Landschaft', 'Aargau']",72,2809,2,"Aargau, Basel-Landschaft"
96-356-9-j24-1,"['Luzern', 'Aargau']",85,2801,2,"Aargau, Luzern"
96-224-1-j24-1,"['StGallen', 'AppenzellAusserrhoden']",120,2664,2,"AppenzellAusserrhoden, StGallen"
96-284-5-j24-1,"['Graubunden', 'Ticino']",214,2642,2,"Graubunden, Ticino"
91-17-A-j24-1,"['Aargau', 'Zurich']",S17,2624,2,"Aargau, Zurich"
92-5-J-j24-1,"['Solothurn', 'Bern']",5,2541,2,"Bern, Solothurn"
91-1-A-j24-1,"['Luzern', 'Zug']",S1,2515,2,"Luzern, Zug"
92-653-j24-1,"['Zug', 'Schwyz']",653,2490,2,"Schwyz, Zug"
96-224-2-j24-1,"['StGallen', 'AppenzellAusserrhoden']",121,2427,2,"AppenzellAusserrhoden, StGallen"
92-702-A-j24-1,"['StGallen', 'Thurgau']",702,2391,2,"StGallen, Thurgau"
96-131-1-j24-1,"['Solothurn', 'Basel-Landschaft']",111,2345,2,"Basel-Landschaft, Solothurn"
92-885-j24-1,"['Zurich', 'StGallen']",885,2334,2,"StGallen, Zurich"
92-733-8-j24-1,"['Aargau', 'Schaffhausen']",7338,2330,2,"Aargau, Schaffhausen"
96-165-4-j24-1,"['Aargau', 'Zurich']",350,2268,2,"Aargau, Zurich"
92-102-B-j24-1,"['Valais', 'Vaud']",102,2233,2,"Valais, Vaud"
96-144-9-j24-1,"['Solothurn', 'Bern']",129,2139,2,"Bern, Solothurn"
96-182-3-j24-1,"['Aargau', 'Zurich']",215,2134,2,"Aargau, Zurich"
92-3-J-j24-1,"['Solothurn', 'Aargau']",3,2105,2,"Aargau, Solothurn"
92-65-B-j24-1,"['Basel-Landschaft', 'Solothurn']",65,2103,2,"Basel-Landschaft, Solothurn"
91-11-M-j24-1,"['Bern', 'Solothurn']",S11,2073,2,"Bern, Solothurn"
92-81-j24-1,"['Basel-Landschaft', 'Basel-Stadt']",81,2068,2,"Basel-Landschaft, Basel-Stadt"
92-37-B-j24-1,"['Basel-Stadt', 'Basel-Landschaft']",37,2035,2,"Basel-Landschaft, Basel-Stadt"
96-187-1-j24-1,"['Zurich', 'Aargau']",510,2005,2,"Aargau, Zurich"
92-200-j24-1,"['Schaffhausen', 'Thurgau']",200,1991,2,"Schaffhausen, Thurgau"
96-120-6-j24-1,"['Jura', 'Basel-Landschaft']",6,1986,2,"Basel-Landschaft, Jura"
96-131-5-j24-1,"['Solothurn', 'Basel-Landschaft']",115,1972,2,"Basel-Landschaft, Solothurn"
96-182-0-j24-1,"['Aargau', 'Zurich']",245,1929,2,"Aargau, Zurich"
91-17-j24-1,"['Basel-Landschaft', 'Basel-Stadt']",17,1928,2,"Basel-Landschaft, Basel-Stadt"
96-242-3-j24-1,"['Schwyz', 'Zurich']",180,1918,2,"Schwyz, Zurich"
91-20-A-j24-1,"['Solothurn', 'Bern']",S20,1897,2,"Bern, Solothurn"
92-631-j24-1,"['StGallen', 'Zurich']",631,1887,2,"StGallen, Zurich"
93-253-5-j24-1,"['Nidwalden', 'Obwalden']",2535,1864,2,"Nidwalden, Obwalden"
92-508-j24-1,"['Aargau', 'Solothurn']",508,1843,2,"Aargau, Solothurn"
96-220-8-j24-1,"['Thurgau', 'StGallen']",211,1836,2,"StGallen, Thurgau"
92-48-A-j24-1,"['Basel-Landschaft', 'Basel-Stadt']",48,1820,2,"Basel-Landschaft, Basel-Stadt"
92-732-j24-1,"['StGallen', 'Thurgau']",732,1780,2,"StGallen, Thurgau"
96-140-0-j24-1,"['Basel-Landschaft', 'Aargau']",100,1763,2,"Aargau, Basel-Landschaft"
92-158-j24-1,"['AppenzellAusserrhoden', 'StGallen']",158,1757,2,"AppenzellAusserrhoden, StGallen"
92-103-A-j24-1,"['Valais', 'Vaud']",103,1742,2,"Valais, Vaud"
96-250-8-j24-1,"['Thurgau', 'StGallen']",210,1741,2,"StGallen, Thurgau"
91-8-B-j24-1,"['Bern', 'Solothurn']",S8,1707,2,"Bern, Solothurn"
91-5-C-j24-1,"['Zug', 'Zurich']",S5,1688,2,"Zug, Zurich"
91-2-A-j24-1,"['Bern', 'Fribourg']",S2,1667,2,"Bern, Fribourg"
92-25-j24-1,"['Schaffhausen', 'Thurgau']",25,1666,2,"Schaffhausen, Thurgau"
91-9-D-j24-1,"['Zurich', 'Schaffhausen']",S9,1657,2,"Schaffhausen, Zurich"
92-811-j24-1,"['Vaud', 'Geneve']",811,1618,2,"Geneve, Vaud"
96-144-7-j24-1,"['Solothurn', 'Aargau']",127,1582,2,"Aargau, Solothurn"
91-8-C-j24-1,"['Zurich', 'Schwyz']",S8,1571,2,"Schwyz, Zurich"
91-6-D-j24-1,"['Zurich', 'Aargau']",S6,1564,2,"Aargau, Zurich"
91-L4-A-j24-1,"['Geneve', 'Vaud']",RL4,1564,2,"Geneve, Vaud"
96-220-5-j24-1,"['Thurgau', 'StGallen']",200,1551,2,"StGallen, Thurgau"
91-1-E-j24-1,"['Fribourg', 'Bern']",S1,1550,2,"Bern, Fribourg"
91-9-B-j24-1,"['Aargau', 'Luzern']",S9,1539,2,"Aargau, Luzern"
92-734-2-j24-1,"['Schaffhausen', 'Aargau']",7342,1537,2,"Aargau, Schaffhausen"
92-80-j24-1,"['Basel-Landschaft', 'Basel-Stadt']",80,1519,2,"Basel-Landschaft, Basel-Stadt"
96-167-2-j24-1,"['Aargau', 'Zurich']",354,1510,2,"Aargau, Zurich"
91-11-A-j24-1,"['Zurich', 'Aargau']",S11,1500,2,"Aargau, Zurich"
92-83-j24-1,"['Basel-Landschaft', 'Aargau']",83,1500,2,"Aargau, Basel-Landschaft"
92-213-j24-1,"['Fribourg', 'Vaud']",213,1448,2,"Fribourg, Vaud"
91-72-j24-1,"['Valais', 'Vaud']",R72,1428,2,"Valais, Vaud"
91-7-C-j24-1,"['Zurich', 'StGallen']",S7,1384,2,"StGallen, Zurich"
96-173-1-j24-1,"['Aargau', 'Zurich']",217,1374,2,"Aargau, Zurich"
92-55-A-j24-1,"['Vaud', 'Geneve']",55,1369,2,"Geneve, Vaud"
92-46-j24-1,"['Basel-Stadt', 'Basel-Landschaft']",46,1358,2,"Basel-Landschaft, Basel-Stadt"
92-21-E-j24-1,"['StGallen', 'Graubunden']",21,1341,2,"Graubunden, StGallen"
92-402-A-j24-1,"['Schaffhausen', 'Thurgau']",402,1295,2,"Schaffhausen, Thurgau"
92-7-J-j24-1,"['Solothurn', 'Bern']",7,1267,2,"Bern, Solothurn"
91-44-j24-1,"['Bern', 'Solothurn']",S44,1256,2,"Bern, Solothurn"
91-6-M-j24-1,"['Aargau', 'Basel-Stadt']",S6,1220,2,"Aargau, Basel-Stadt"
92-642-j24-1,"['Zug', 'Zurich']",642,1218,2,"Zug, Zurich"
91-5-B-j24-1,"['Thurgau', 'StGallen']",S5,1215,2,"StGallen, Thurgau"
96-352-j24-1,"['Valais', 'Vaud']",120,1212,2,"Valais, Vaud"
96-245-2-j24-1,"['Glarus', 'StGallen']",511,1204,2,"Glarus, StGallen"
91-4-j24-1,"['AppenzellAusserrhoden', 'StGallen']",S4,1194,2,"AppenzellAusserrhoden, StGallen"
92-700-A-j24-1,"['StGallen', 'Thurgau']",700,1188,2,"StGallen, Thurgau"
92-735-A-j24-1,"['StGallen', 'Thurgau']",735,1188,2,"StGallen, Thurgau"
96-354-0-j24-1,"['Bern', 'Luzern']",251,1185,2,"Bern, Luzern"
92-730-2-j24-1,"['Aargau', 'Basel-Stadt']",7302,1178,2,"Aargau, Basel-Stadt"
96-200-4-j24-1,"['Thurgau', 'Schaffhausen']",825,1171,2,"Schaffhausen, Thurgau"
96-136-8-j24-1,"['Solothurn', 'Basel-Landschaft']",68,1158,2,"Basel-Landschaft, Solothurn"
92-1-T-j24-1,"['Basel-Stadt', 'Basel-Landschaft']",1,1127,2,"Basel-Landschaft, Basel-Stadt"
91-6-O-j24-1,"['Schaffhausen', 'Thurgau']",S6,1126,2,"Schaffhausen, Thurgau"
92-175-j24-1,"['Schwyz', 'Zurich']",175,1123,2,"Schwyz, Zurich"
96-144-4-j24-1,"['Solothurn', 'Basel-Landschaft']",94,1123,2,"Basel-Landschaft, Solothurn"
91-10-C-j24-1,"['Thurgau', 'StGallen']",S10,1122,2,"StGallen, Thurgau"
92-734-0-j24-1,"['Zurich', 'Aargau']",7340,1107,2,"Aargau, Zurich"
92-2-R-j24-1,"['Basel-Stadt', 'Basel-Landschaft']",2,1085,2,"Basel-Landschaft, Basel-Stadt"
92-1-W-j24-1,"['Thurgau', 'Schaffhausen']",1,1080,2,"Schaffhausen, Thurgau"
96-903-j24-1,"['Bern', 'Vaud']",180,1076,2,"Bern, Vaud"
96-220-3-j24-1,"['StGallen', 'AppenzellAusserrhoden']",182,1057,2,"AppenzellAusserrhoden, StGallen"
92-730-4-j24-1,"['Basel-Stadt', 'Aargau']",7304,1038,2,"Aargau, Basel-Stadt"
91-30-j24-1,"['Vaud', 'Fribourg']",S30,1036,2,"Fribourg, Vaud"
91-6-B-j24-1,"['Bern', 'Luzern']",S6,1033,2,"Bern, Luzern"
91-15-I-j24-1,"['Thurgau', 'StGallen']",S15,1026,2,"StGallen, Thurgau"
91-2-B-j24-1,"['Schwyz', 'Zurich']",S2,1026,2,"Schwyz, Zurich"
96-167-0-j24-1,"['Aargau', 'Zurich']",352,1022,2,"Aargau, Zurich"
96-140-2-j24-1,"['Solothurn', 'Basel-Landschaft']",102,1014,2,"Basel-Landschaft, Solothurn"
92-609-j24-1,"['Zug', 'Schwyz']",609,1006,2,"Schwyz, Zug"
96-350-1-j24-1,"['Luzern', 'Bern']",281,1003,2,"Bern, Luzern"
96-200-3-j24-1,"['Thurgau', 'Zurich']",823,1002,2,"Thurgau, Zurich"
92-271-A-j24-1,"['Vaud', 'Geneve']",271,994,2,"Geneve, Vaud"
92-544-j24-1,"['Fribourg', 'Vaud']",544,993,2,"Fribourg, Vaud"
92-50-B-j24-1,"['Luzern', 'Aargau']",50,990,2,"Aargau, Luzern"
92-731-1-j24-1,"['Basel-Landschaft', 'Basel-Stadt']",7311,990,2,"Basel-Landschaft, Basel-Stadt"
92-473-j24-1,"['Fribourg', 'Vaud']",473,986,2,"Fribourg, Vaud"
92-34-C-j24-1,"['Solothurn', 'Bern']",34,975,2,"Bern, Solothurn"
92-898-j24-1,"['Solothurn', 'Bern']",898,975,2,"Bern, Solothurn"
96-138-4-j24-1,"['Aargau', 'Basel-Landschaft']",84,972,2,"Aargau, Basel-Landschaft"
91-16-A-j24-1,"['StGallen', 'Zurich']",S16,971,2,"StGallen, Zurich"
91-1-B-j24-1,"['Basel-Landschaft', 'Aargau']",S1,960,2,"Aargau, Basel-Landschaft"
92-734-j24-1,"['StGallen', 'Thurgau']",734,956,2,"StGallen, Thurgau"
96-155-j24-1,"['Neuchatel', 'Vaud']",630,940,2,"Neuchatel, Vaud"
96-360-0-j24-1,"['Nidwalden', 'Obwalden']",312,934,2,"Nidwalden, Obwalden"
92-608-j24-1,"['Basel-Stadt', 'Basel-Landschaft']",608,930,2,"Basel-Landschaft, Basel-Stadt"
91-41-E-j24-1,"['Neuchatel', 'Bern']",R41,922,2,"Bern, Neuchatel"
91-2-E-j24-1,"['StGallen', 'AppenzellAusserrhoden']",S2,896,2,"AppenzellAusserrhoden, StGallen"
91-41-F-j24-1,"['Bern', 'Solothurn']",S41,872,2,"Bern, Solothurn"
96-224-9-j24-1,"['AppenzellAusserrhoden', 'StGallen']",230,871,2,"AppenzellAusserrhoden, StGallen"
96-220-1-j24-1,"['StGallen', 'AppenzellAusserrhoden']",180,867,2,"AppenzellAusserrhoden, StGallen"
96-200-9-j24-1,"['Thurgau', 'Zurich']",834,864,2,"Thurgau, Zurich"
91-5-O-j24-1,"['Solothurn', 'Bern']",RE5,835,2,"Bern, Solothurn"
96-272-5-j24-1,"['StGallen', 'Graubunden']",22,832,2,"Graubunden, StGallen"
92-152-j24-1,"['StGallen', 'AppenzellAusserrhoden']",152,828,2,"AppenzellAusserrhoden, StGallen"
96-131-4-j24-1,"['Solothurn', 'Basel-Landschaft']",114,821,2,"Basel-Landschaft, Solothurn"
96-167-4-j24-1,"['Aargau', 'Zurich']",355,813,2,"Aargau, Zurich"
96-137-3-j24-1,"['Solothurn', 'Basel-Landschaft']",73,808,2,"Basel-Landschaft, Solothurn"
92-8-F-j24-1,"['Bern', 'Solothurn']",8,805,2,"Bern, Solothurn"
96-186-2-j24-1,"['Zurich', 'Schaffhausen']",675,792,2,"Schaffhausen, Zurich"
96-136-9-j24-1,"['Solothurn', 'Basel-Landschaft']",69,788,2,"Basel-Landschaft, Solothurn"
96-357-8-j24-1,"['Luzern', 'Aargau']",399,778,2,"Aargau, Luzern"
91-43-j24-1,"['Valais', 'Uri']",R43,773,2,"Uri, Valais"
92-305-A-j24-1,"['Aargau', 'Zurich']",305,767,2,"Aargau, Zurich"
91-40-j24-1,"['Schwyz', 'Zurich']",S40,759,2,"Schwyz, Zurich"
96-735-j24-1,"['Bern', 'Neuchatel']",132,754,2,"Bern, Neuchatel"
91-9-K-j24-1,"['Fribourg', 'Vaud']",R9,752,2,"Fribourg, Vaud"
91-5-K-j24-1,"['Basel-Stadt', 'Aargau']",S5,751,2,"Aargau, Basel-Stadt"
96-161-j24-1,"['Vaud', 'Fribourg']",650,745,2,"Fribourg, Vaud"
91-21-A-j24-1,"['Fribourg', 'Bern']",S21,739,2,"Bern, Fribourg"
96-228-3-j24-1,"['StGallen', 'Thurgau']",740,739,2,"StGallen, Thurgau"
92-176-j24-1,"['Schwyz', 'Zurich']",176,735,2,"Schwyz, Zurich"
91-4-D-j24-1,"['Nidwalden', 'Luzern']",S4,726,2,"Luzern, Nidwalden"
91-7-B-j24-1,"['Thurgau', 'StGallen']",S7,718,2,"StGallen, Thurgau"
92-722-j24-1,"['StGallen', 'Thurgau']",722,707,2,"StGallen, Thurgau"
92-609-A-j24-1,"['Luzern', 'Aargau']",609,696,2,"Aargau, Luzern"
96-202-0-j24-1,"['Thurgau', 'StGallen']",722,684,2,"StGallen, Thurgau"
92-871-j24-1,"['Bern', 'Solothurn']",871,669,2,"Bern, Solothurn"
96-221-6-j24-1,"['AppenzellInnerrhoden', 'AppenzellAusserrhoden']",191,666,2,"AppenzellAusserrhoden, AppenzellInnerrhoden"
91-56-B-j24-1,"['Jura', 'Solothurn']",RE56,662,2,"Jura, Solothurn"
96-136-7-j24-1,"['Solothurn', 'Basel-Landschaft']",67,660,2,"Basel-Landschaft, Solothurn"
96-180-1-j24-1,"['Zurich', 'Zug']",280,656,2,"Zug, Zurich"
96-187-2-j24-1,"['Zurich', 'Aargau']",515,651,2,"Aargau, Zurich"
96-123-3-j24-1,"['Bern', 'Jura']",33,647,2,"Bern, Jura"
96-130-1-j24-1,"['Solothurn', 'Basel-Landschaft']",117,641,2,"Basel-Landschaft, Solothurn"
92-604-C-j24-1,"['Aargau', 'Luzern']",604,636,2,"Aargau, Luzern"
92-733-j24-1,"['StGallen', 'Thurgau']",733,633,2,"StGallen, Thurgau"
91-22-A-j24-1,"['AppenzellAusserrhoden', 'StGallen']",S22,630,2,"AppenzellAusserrhoden, StGallen"
91-6-G-j24-1,"['Glarus', 'StGallen']",S6,619,2,"Glarus, StGallen"
92-706-j24-1,"['StGallen', 'Thurgau']",706,614,2,"StGallen, Thurgau"
96-250-4-j24-1,"['Thurgau', 'StGallen']",201,576,2,"StGallen, Thurgau"
92-363-j24-1,"['Solothurn', 'Bern']",363,571,2,"Bern, Solothurn"
96-245-4-j24-1,"['Glarus', 'StGallen']",512,571,2,"Glarus, StGallen"
92-61-F-j24-1,"['Vaud', 'Geneve']",61,567,2,"Geneve, Vaud"
96-124-1-j24-1,"['Jura', 'Bern']",41,567,2,"Bern, Jura"
91-13-A-j24-1,"['Schwyz', 'Zurich']",S13,566,2,"Schwyz, Zurich"
91-19-A-j24-1,"['Aargau', 'Zurich']",S19,562,2,"Aargau, Zurich"
91-16-G-j24-1,"['Neuchatel', 'Bern']",R16,560,2,"Bern, Neuchatel"
91-6-U-j24-1,"['Vaud', 'Fribourg']",R6,556,2,"Fribourg, Vaud"
96-215-j24-1,"['Vaud', 'Fribourg']",561,553,2,"Fribourg, Vaud"
92-131-A-j24-1,"['Bern', 'Jura']",131,550,2,"Bern, Jura"
92-733-1-j24-1,"['Aargau', 'Schaffhausen']",7331,549,2,"Aargau, Schaffhausen"
92-33-A-j24-1,"['Solothurn', 'Bern']",33,547,2,"Bern, Solothurn"
92-110-B-j24-1,"['Valais', 'Vaud']",110,536,2,"Valais, Vaud"
91-1-N-j24-1,"['Valais', 'Bern']",RE1,531,2,"Bern, Valais"
92-46-C-j24-1,"['StGallen', 'Graubunden']",46,528,2,"Graubunden, StGallen"
92-66-D-j24-1,"['Basel-Landschaft', 'Solothurn']",66,520,2,"Basel-Landschaft, Solothurn"
92-474-j24-1,"['Fribourg', 'Vaud']",474,518,2,"Fribourg, Vaud"
92-942-j24-1,"['Thurgau', 'StGallen']",942,517,2,"StGallen, Thurgau"
91-30-A-j24-1,"['Zurich', 'Thurgau']",S30,506,2,"Thurgau, Zurich"
96-204-0-j24-1,"['Thurgau', 'Zurich']",847,503,2,"Thurgau, Zurich"
92-7-Q-j24-1,"['Schaffhausen', 'Thurgau']",7,501,2,"Schaffhausen, Thurgau"
96-881-j24-1,"['Bern', 'Fribourg']",121,500,2,"Bern, Fribourg"
91-7-D-j24-1,"['Bern', 'Luzern']",S7,498,2,"Bern, Luzern"
92-731-j24-1,"['StGallen', 'Thurgau']",731,493,2,"StGallen, Thurgau"
96-286-j24-1,"['Vaud', 'Fribourg']",562,490,2,"Fribourg, Vaud"
96-189-1-j24-1,"['Schaffhausen', 'Zurich']",630,484,2,"Schaffhausen, Zurich"
91-L2-B-j24-1,"['Vaud', 'Geneve']",RL2,476,2,"Geneve, Vaud"
92-529-j24-1,"['Schwyz', 'Luzern']",529,468,2,"Luzern, Schwyz"
96-138-5-j24-1,"['Aargau', 'Basel-Landschaft']",85,468,2,"Aargau, Basel-Landschaft"
96-189-8-j24-1,"['Zurich', 'Schaffhausen']",632,461,2,"Schaffhausen, Zurich"
91-37-D-j24-1,"['Bern', 'Jura']",R37,453,2,"Bern, Jura"
96-224-3-j24-1,"['AppenzellAusserrhoden', 'StGallen']",222,450,2,"AppenzellAusserrhoden, StGallen"
96-809-j24-1,"['Solothurn', 'Bern']",882,439,2,"Bern, Solothurn"
91-24-F-j24-1,"['Luzern', 'Aargau']",RE24,438,2,"Aargau, Luzern"
96-189-6-j24-1,"['Zurich', 'Schaffhausen']",634,435,2,"Schaffhausen, Zurich"
92-202-C-j24-1,"['Thurgau', 'Schaffhausen']",202,433,2,"Schaffhausen, Thurgau"
96-217-j24-1,"['Fribourg', 'Vaud']",460,429,2,"Fribourg, Vaud"
91-34-j24-1,"['Vaud', 'Fribourg']",R34,428,2,"Fribourg, Vaud"
92-552-j24-1,"['Vaud', 'Fribourg']",552,421,2,"Fribourg, Vaud"
91-7-L-j24-1,"['Luzern', 'Bern']",RE7,419,2,"Bern, Luzern"
92-444-A-j24-1,"['Aargau', 'Zurich']",444,418,2,"Aargau, Zurich"
96-880-j24-1,"['Bern', 'Fribourg']",131,416,2,"Bern, Fribourg"
91-L1-B-j24-1,"['Geneve', 'Vaud']",RL1,408,2,"Geneve, Vaud"
96-357-5-j24-1,"['Luzern', 'Aargau']",398,407,2,"Aargau, Luzern"
96-221-7-j24-1,"['AppenzellAusserrhoden', 'StGallen']",190,406,2,"AppenzellAusserrhoden, StGallen"
91-36-j24-1,"['Aargau', 'Zurich']",S36,401,2,"Aargau, Zurich"
92-730-5-j24-1,"['Basel-Stadt', 'Aargau']",7305,401,2,"Aargau, Basel-Stadt"
91-62-C-j24-1,"['Schaffhausen', 'Thurgau']",S62,394,2,"Schaffhausen, Thurgau"
96-224-4-j24-1,"['AppenzellAusserrhoden', 'StGallen']",224,394,2,"AppenzellAusserrhoden, StGallen"
96-356-j24-1,"['Vaud', 'Valais']",121,386,2,"Valais, Vaud"
92-551-j24-1,"['Fribourg', 'Vaud']",551,385,2,"Fribourg, Vaud"
96-189-4-j24-1,"['Zurich', 'Thurgau']",605,384,2,"Thurgau, Zurich"
92-734-C-j24-1,"['Schaffhausen', 'Aargau']",7345,381,2,"Aargau, Schaffhausen"
96-234-j24-1,"['Vaud', 'Bern']",535,366,2,"Bern, Vaud"
92-556-j24-1,"['Fribourg', 'Vaud']",556,361,2,"Fribourg, Vaud"
96-216-j24-1,"['Vaud', 'Fribourg']",462,361,2,"Fribourg, Vaud"
96-357-7-j24-1,"['Luzern', 'Zug']",110,360,2,"Luzern, Zug"
96-140-1-j24-1,"['Aargau', 'Basel-Landschaft']",101,354,2,"Aargau, Basel-Landschaft"
96-213-j24-1,"['Vaud', 'Fribourg']",450,354,2,"Fribourg, Vaud"
96-254-4-j24-1,"['AppenzellAusserrhoden', 'StGallen']",225,350,2,"AppenzellAusserrhoden, StGallen"
92-362-j24-1,"['Solothurn', 'Bern']",362,345,2,"Bern, Solothurn"
92-472-j24-1,"['Fribourg', 'Vaud']",472,345,2,"Fribourg, Vaud"
96-260-0-j24-1,"['Graubunden', 'Ticino']",171,344,2,"Graubunden, Ticino"
91-1W-Y-j24-1,"['Bern', 'Obwalden']",PE,324,2,"Bern, Obwalden"
92-13E-j24-1,"['StGallen', 'Graubunden']",13E,324,2,"Graubunden, StGallen"
92-181-j24-1,"['Fribourg', 'Bern']",181,322,2,"Bern, Fribourg"
91-66-A-j24-1,"['Neuchatel', 'Bern']",IR66,318,2,"Bern, Neuchatel"
91-9-F-j24-1,"['Solothurn', 'Basel-Landschaft']",S9,316,2,"Basel-Landschaft, Solothurn"
91-45-j24-1,"['Graubunden', 'Uri']",R45,312,2,"Graubunden, Uri"
92-106-E-j24-1,"['Valais', 'Vaud']",106,310,2,"Valais, Vaud"
96-184-9-j24-1,"['Thurgau', 'Zurich']",806,310,2,"Thurgau, Zurich"
91-35-F-j24-1,"['Bern', 'Fribourg']",S35,290,2,"Bern, Fribourg"
96-123-2-j24-1,"['Jura', 'Bern']",32,289,2,"Bern, Jura"
92-818-B-j24-1,"['Geneve', 'Vaud']",818,288,2,"Geneve, Vaud"
92-258-j24-1,"['Fribourg', 'Vaud']",258,284,2,"Fribourg, Vaud"
