k3_anonymity_preservation,k5_anonymity_preservation,k10_anonymity_preservation,mean_displacement_m,median_displacement_m,max_displacement_m,std_displacement_m,method,reidentification_reidentification_rate,reidentification_unique_points_ratio,reidentification_avg_confusion_distance,reidentification_median_confusion_distance,location_entropy_original,location_entropy_masked,entropy_preservation,ripleys_k_original_array,ripleys_k_masked_array,ripleys_k_correlation,neighbor_preservation_mean_neighbor_preservation,neighbor_preservation_median_neighbor_preservation,neighbor_preservation_mean_rank_correlation,neighbor_preservation_neighbor_preservation_std,direction_bias_directional_bias,direction_bias_mean_direction_degrees,direction_bias_circular_variance,direction_bias_is_biased,density_correlation_density_pearson_correlation,density_correlation_density_spearman_correlation,density_correlation_density_js_divergence,density_correlation_density_similarity,query_accuracy_mean_count_error,query_accuracy_median_count_error,query_accuracy_mean_precision,query_accuracy_mean_recall,query_accuracy_query_accuracy
0.552,0.572,0.714,205.8039410434064,157.07004690646534,3120.1290037432746,235.94471778576036,Donut Geomask,0.7333,0.7045,41.85530000230143,0.0,8.831503948584455,8.460003567086947,0.9579346412954892,"[526483.3534934935, 2085487.4584984984, 6236016.42002002, 18462697.794354353]","[478745.6386186186, 2169634.48990991, 6457973.082642643, 18757661.564174175]",0.9999577526015813,0.2538174603174603,0.25,0.40165333333333336,0.20009259304729654,0.11018170112603141,-1.9506783184060041,0.8898182988739686,0.0,0.8585197370254481,0.89510745484369,0.07786768507278118,0.9221323149272188,0.44,0.0,0.8904756623817147,0.9215779933372525,0.999956
0.746,0.815,0.884,142.49632505687774,96.02343178074636,3791.2347592835768,232.69824976841713,K-Anonymity,0.7658,0.6595,37.37719243551111,0.0,8.831503948584455,8.48081556672277,0.9602912047706331,"[393584.6429029029, 1891250.8814814815, 5949773.0433633635, 18283795.683943942]","[597988.0670510511, 2148702.884996997, 6456244.045957958, 19282581.314654656]",0.9999935006597788,0.37317063492063496,0.42857142857142855,0.57399,0.22293760556076456,0.2799819858718633,1.307669389781388,0.7200180141281367,0.0,0.8970542114660722,0.8998393841866447,0.06513135447325911,0.9348686455267409,0.34,0.0,0.9100655760041573,0.8986478645653153,0.999966
0.993,0.998,0.999,3.304186660096595,0.0,157.2768260107,13.216415948177467,Differential Privacy,0.9867,0.6105,2.153466430319211,0.0,8.831503948584455,8.803802941167017,0.9968633873031469,"[546929.3089689689, 2203051.7024824824, 6558040.218758759, 18851170.94838839]","[526483.3534934935, 2065041.503023023, 6455810.441381382, 18892062.859339338]",0.999973887393577,0.9044087301587301,1.0,0.9569000000000001,0.17263487790029364,0.9264851390159331,-0.1783791013471646,0.0735148609840669,1.0,0.9943334005151753,0.9966840180367076,0.0025112194740221786,0.9974887805259778,0.01,0.0,0.9986394557823128,1.0,0.999999
0.795,0.832,0.885,125.18208754079342,118.83812473007535,600.2741040558055,99.36098761047585,Voronoi Mask,0.7052,0.6458,37.656049272235414,0.0,8.831503948584455,8.360448428273948,0.9466619136386153,"[393584.6429029029, 1829913.015055055, 6236016.42002002, 18432028.86114114]","[720234.4882582582, 2206675.878918919, 6952050.627797798, 19936703.60051051]",0.999996877415049,0.4093611111111111,0.42857142857142855,0.6110866666666666,0.24064709597580294,0.20064494487758333,-3.160067397715407,0.7993550551224167,0.0,0.8712571059388876,0.8672937302046061,0.08215776042893452,0.9178422395710655,0.32,0.0,0.962448136921281,0.82865860990861,0.999968
