iter	MultiClass
172	1.114655008
173	1.114093273
174	1.113564562
175	1.113195761
176	1.112766697
177	1.112273214
178	1.111910952
179	1.111877403
180	1.111374871
181	1.110980112
182	1.110677551
183	1.110116343
184	1.109719361
185	1.109283178
186	1.108915581
187	1.108500979
188	1.108187849
189	1.107657028
190	1.107433447
191	1.106993821
192	1.106378129
193	1.10608909
194	1.105993408
195	1.105696044
196	1.105317058
197	1.10485226
198	1.104519167
199	1.104154955
200	1.103775177
201	1.103372765
202	1.103009089
203	1.102691543
204	1.102218512
205	1.101915334
206	1.101428508
207	1.101029097
208	1.100766031
209	1.100398054
210	1.100072079
211	1.099808871
212	1.099460995
213	1.098996798
214	1.098497768
215	1.098202214
216	1.09784587
217	1.097512905
218	1.0971301
219	1.096782597
220	1.096604983
221	1.096288396
222	1.096011138
223	1.095763268
224	1.095487856
225	1.095041541
226	1.094792717
227	1.094209967
228	1.093916781
229	1.093409243
230	1.09293702
231	1.092429759
232	1.0921233
233	1.09192872
234	1.091670954
235	1.091206606
236	1.090910348
237	1.090390978
238	1.090102012
239	1.089722777
240	1.089355685
241	1.089037626
242	1.08870502
243	1.088458537
244	1.088171135
245	1.087917218
246	1.087626851
247	1.087271389
248	1.086940802
249	1.08652103
250	1.086316195
251	1.085887041
252	1.085474069
253	1.084902178
254	1.084590679
255	1.08438236
256	1.08433239
257	1.084045542
258	1.083795558
259	1.083482662
260	1.083188106
261	1.082841998
262	1.082472068
263	1.082156447
264	1.0819045
265	1.081499208
266	1.081273899
267	1.08108187
268	1.080758546
269	1.080353132
270	1.079967088
271	1.079750688
272	1.079377353
273	1.079103719
274	1.078844438
275	1.07838781
276	1.078128012
277	1.077756783
278	1.077530484
279	1.077258354
280	1.076941005
281	1.076594597
282	1.076216782
283	1.075733273
284	1.075166152
285	1.074848172
286	1.074506879
287	1.074110589
288	1.073666915
289	1.07334562
290	1.073003165
291	1.07267911
292	1.07216027
293	1.072003581
294	1.071530707
295	1.071174052
296	1.070791537
297	1.070630428
298	1.070301001
299	1.069927869
300	1.069651089
301	1.0694128
302	1.069151179
303	1.068974279
304	1.068745472
305	1.068462195
306	1.068157112
307	1.068004809
308	1.067675198
309	1.067611335
310	1.067249783
311	1.066994166
312	1.066786813
313	1.066296497
314	1.066030504
315	1.06579301
316	1.065513051
317	1.065256713
318	1.065246749
319	1.064987676
320	1.064702553
321	1.064471255
322	1.064204822
323	1.063894122
324	1.063676023
325	1.063438643
326	1.063254788
327	1.06299279
328	1.062680181
329	1.062492518
330	1.062301274
331	1.062026626
332	1.061733454
333	1.061457223
334	1.061261818
335	1.060887297
336	1.060610524
337	1.06027201
338	1.060042219
339	1.059779511
340	1.059356583
341	1.059153201
342	1.058943617
343	1.058718239
344	1.058473229
345	1.05817641
346	1.05776016
347	1.057432914
348	1.057197723
349	1.056988925
350	1.056723442
351	1.056551261
352	1.056170108
353	1.055882969
354	1.05570602
355	1.055459353
356	1.055274844
357	1.054999633
358	1.054710813
359	1.054469438
360	1.054239783
361	1.054003175
362	1.053729862
363	1.053427605
364	1.053214072
365	1.052862938
366	1.052612947
367	1.052316691
368	1.05211661
369	1.051813884
370	1.051545023
371	1.051282677
372	1.051012896
373	1.050802555
374	1.050667197
375	1.050486382
376	1.050264116
377	1.050004651
378	1.049699245
379	1.049408288
380	1.048965675
381	1.048794869
382	1.048524286
383	1.048247242
384	1.047934579
385	1.047677431
386	1.047493084
387	1.047380327
388	1.046979923
389	1.046738804
390	1.046445507
391	1.0462968
392	1.046074819
393	1.045790453
394	1.045598443
395	1.045383559
396	1.045102264
397	1.04486166
398	1.04459098
399	1.044333491
400	1.043789398
401	1.04359935
402	1.043444629
403	1.043243194
404	1.043069083
405	1.042804756
406	1.042595837
407	1.042385651
408	1.042079989
409	1.04187657
410	1.041591724
411	1.041377186
412	1.041053975
413	1.040870753
414	1.04057638
415	1.040371683
416	1.040152571
417	1.039866972
418	1.039659052
419	1.0394153
420	1.039281531
421	1.039003536
422	1.038781933
423	1.038591
424	1.038337075
425	1.037961927
426	1.037748038
427	1.037479045
428	1.037260483
429	1.03707435
430	1.036866983
431	1.036725988
432	1.036450178
433	1.036236752
434	1.036078499
435	1.035899175
436	1.035603564
437	1.035422266
438	1.035129506
439	1.034890779
440	1.034634883
441	1.03436112
442	1.034185601
443	1.033980034
444	1.033796305
445	1.033561779
446	1.03329426
447	1.033074244
448	1.032836434
449	1.032664337
450	1.032398237
451	1.032251737
452	1.031991639
453	1.031722805
454	1.031511681
455	1.031358726
456	1.031133401
457	1.03090585
458	1.030660023
459	1.030407741
460	1.03020161
461	1.029896478
462	1.029617042
463	1.029415729
464	1.02913467
465	1.028942364
466	1.028689828
467	1.028323776
468	1.028126409
469	1.027887187
470	1.027718266
471	1.027444479
472	1.027274785
473	1.027034134
474	1.026847708
475	1.026689459
476	1.026467842
477	1.026271049
478	1.026020265
479	1.025927148
480	1.025728998
481	1.025504921
482	1.025383985
483	1.025068287
484	1.02492232
485	1.024721253
486	1.024225677
487	1.023998044
488	1.023800018
489	1.023538372
490	1.023375536
491	1.023201335
492	1.023065725
493	1.022898236
494	1.022571393
495	1.022330473
496	1.021982612
497	1.021828731
498	1.021536673
499	1.021367084
500	1.021207503
501	1.02098999
502	1.02070597
503	1.020556812
504	1.020375862
505	1.02014386
506	1.01989533
507	1.01962008
508	1.019392054
509	1.019159116
510	1.018954116
511	1.018765043
512	1.018586778
513	1.018472466
514	1.018249483
515	1.018046944
516	1.017806414
517	1.017639118
518	1.017357564
519	1.017122642
520	1.016832348
521	1.016612824
522	1.016449894
523	1.016257543
524	1.015943798
525	1.015623405
526	1.015465196
527	1.015226936
528	1.015063795
529	1.014888112
530	1.014712397
531	1.014549499
532	1.01435436
533	1.014182054
534	1.014021371
535	1.013732243
536	1.013459415
537	1.013277601
538	1.013125024
539	1.012971088
540	1.01276191
541	1.012526278
542	1.012310624
543	1.012060925
544	1.011676961
545	1.011444457
546	1.011323353
547	1.011188754
548	1.011056484
549	1.010886587
550	1.010631046
551	1.010528524
552	1.010353659
553	1.010180005
554	1.010057311
555	1.009813672
556	1.009675487
557	1.00953222
558	1.009380448
559	1.009222802
560	1.008975926
561	1.008788709
562	1.00855231
563	1.008388301
564	1.008211317
565	1.008018162
566	1.007841308
567	1.007463445
568	1.007290212
569	1.007162702
570	1.007007164
571	1.006719528
572	1.006550755
573	1.006284564
574	1.006075232
575	1.005903212
576	1.005691993
577	1.005439323
578	1.005209978
579	1.005062765
580	1.004886853
581	1.004556997
582	1.004326833
583	1.004102871
584	1.003755367
585	1.003578053
586	1.003456347
587	1.003279774
588	1.003027209
589	1.002758882
590	1.002407818
591	1.002245878
592	1.002072072
593	1.001914038
594	1.001743276
595	1.001546618
596	1.001378607
597	1.001211318
598	1.000989546
599	1.000804913
600	1.000639968
601	1.000477715
602	1.00023813
603	1.000038794
604	0.9997352643
605	0.9995818084
606	0.9994182429
607	0.9992712931
608	0.9991368538
609	0.9989661085
610	0.9987025356
611	0.9984601377
612	0.9982913557
613	0.9979660549
614	0.9977770114
615	0.9976235288
616	0.9975193936
617	0.9973381469
618	0.9971142934
619	0.9967857289
620	0.9965052959
621	0.9962710419
622	0.9960547367
623	0.9959047447
624	0.9956170759
625	0.9953984825
626	0.9952268878
627	0.9950700283
628	0.9949528052
629	0.9947245428
630	0.9946086749
631	0.9943944449
632	0.9941976797
633	0.9938343306
634	0.9936057439
635	0.9933556393
636	0.9930319416
637	0.9929651842
638	0.9927115309
639	0.9925642785
640	0.9923338753
641	0.9921132723
642	0.9919522775
643	0.9916191545
644	0.991500094
645	0.9911315127
646	0.9909829007
647	0.9907519811
648	0.9905825105
649	0.9902684941
650	0.9900034636
651	0.9898268468
652	0.9896933064
653	0.9895368292
654	0.9892970738
655	0.9891267834
656	0.9889157892
657	0.9886882823
658	0.9883861025
659	0.9881862713
660	0.9880777101
661	0.9878951699
662	0.9877451731
663	0.9874993037
664	0.9872941748
665	0.9869722233
666	0.986823125
667	0.9866851064
668	0.9865539452
669	0.9863152048
670	0.9861319338
671	0.9859060751
672	0.9858263919
673	0.9856676971
674	0.9854985613
675	0.9851162969
676	0.9849293011
677	0.9847370565
678	0.9845095284
679	0.9842768698
680	0.9839857606
681	0.983749655
682	0.9835807376
683	0.9834336675
684	0.9833062523
685	0.9831392953
686	0.9829162384
687	0.9826254912
688	0.9823990245
689	0.9821929885
690	0.9819802431
691	0.9818318218
692	0.9816595095
693	0.9815446007
694	0.9813628491
695	0.9811860671
696	0.981000031
697	0.9808012539
698	0.9806607468
699	0.980377763
700	0.9802087449
701	0.9800376956
702	0.9799366319
703	0.9797628756
704	0.9796630463
705	0.9792972689
706	0.9791598205
707	0.9789801174
708	0.978711142
709	0.9786377951
710	0.9784862705
711	0.9782664312
712	0.977953305
713	0.9778724974
714	0.9777376958
715	0.9776006629
716	0.9774419995
717	0.9772160703
718	0.9770035341
719	0.9768013727
720	0.976535541
721	0.9764072097
722	0.9762707037
723	0.9759794503
724	0.9757543793
725	0.9755935504
726	0.9754769361
727	0.9753145367
728	0.9752245202
729	0.9750218295
730	0.9749866979
731	0.9748458613
732	0.9747019702
733	0.9743529133
734	0.9741794385
735	0.9739322878
736	0.9737668586
737	0.973663726
738	0.9736115972
739	0.9735227335
740	0.9733626657
741	0.9731719817
742	0.9729403875
743	0.9728211524
744	0.972547277
745	0.972257919
746	0.9720521142
747	0.9718593862
748	0.971718297
749	0.971570236
750	0.9714700817
751	0.9712991285
752	0.9711309541
753	0.9709745348
754	0.9708623709
755	0.9707425434
756	0.9706601737
757	0.9705287693
758	0.970341143
759	0.9702043904
760	0.9699322882
761	0.969799161
762	0.969579837
763	0.9694964488
764	0.9693799544
765	0.9691950683
766	0.9691023318
767	0.9689837131
768	0.9686886208
769	0.9684751539
770	0.9682946083
771	0.968083505
772	0.9679793346
773	0.9679017514
774	0.9676039831
775	0.967342528
776	0.9672202707
777	0.9671351056
778	0.9669389342
779	0.9668143494
780	0.9667536016
781	0.96650977
782	0.9663892395
783	0.9662877797
784	0.966190653
785	0.9660484271
786	0.9659124423
787	0.9657234762
788	0.9655872838
789	0.9653965155
790	0.9652302133
791	0.9649647258
792	0.9648478043
793	0.9647567495
794	0.9646261241
795	0.964419912
796	0.9642197222
797	0.9639812717
798	0.9638817377
799	0.9637128564
800	0.9635657159
801	0.963332512
802	0.9631764927
803	0.9628433968
804	0.9626042776
805	0.9625208338
806	0.9623271035
807	0.9621993195
808	0.9621371883
809	0.9620168255
810	0.9619031967
811	0.9617023715
812	0.961589289
813	0.9614390586
814	0.9613180068
815	0.9612245822
816	0.9609853876
817	0.9608062491
818	0.9606517748
819	0.9604919843
820	0.9603920186
821	0.9603017326
822	0.9602017261
823	0.9599807221
824	0.9598787564
825	0.9597758073
826	0.9597436793
827	0.9596003542
828	0.9595126861
829	0.9594456687
830	0.9592375167
831	0.9591824932
832	0.9590676717
833	0.9590200315
834	0.9589017651
835	0.958715233
836	0.9585884646
837	0.9583061833
838	0.9581695862
839	0.9580416651
840	0.9578034676
841	0.9576668508
842	0.9575590881
843	0.957509518
844	0.9574278281
845	0.9572384654
846	0.957062216
847	0.9569323623
848	0.9568144564
849	0.9567356937
850	0.9565465474
851	0.9564638868
852	0.9561894844
853	0.9560203035
854	0.9559299571
855	0.9558106268
856	0.9555344689
857	0.955242719
858	0.9550750536
859	0.9548987102
860	0.9546058996
861	0.9543151554
862	0.9541738979
863	0.9539213747
864	0.95369023
865	0.9534608774
866	0.953298627
867	0.9531721538
868	0.9529729756
869	0.9527635345
870	0.952616189
871	0.9523296892
872	0.9521254116
873	0.9518854257
874	0.9516922801
875	0.9515767268
876	0.9513426759
877	0.9510809551
878	0.9509013718
879	0.9507473439
880	0.9506782169
881	0.9505173891
882	0.950324309
883	0.9501628831
884	0.9500356943
885	0.9499194105
886	0.9497014586
887	0.9495522465
888	0.9494263804
889	0.9492786437
890	0.9490988714
891	0.9490120965
892	0.9488592246
893	0.948666896
894	0.9485884278
895	0.948365678
896	0.9482903342
897	0.9481313758
898	0.94795752
899	0.9477854643
900	0.9475787326
901	0.9473202044
902	0.9471895783
903	0.9469821349
904	0.9468313155
905	0.9467015827
906	0.9466622315
907	0.9465188444
908	0.9463847742
909	0.946169897
910	0.9460298761
911	0.9458533956
912	0.9456560549
913	0.9455234862
914	0.9453110296
915	0.9451949813
916	0.9450442187
917	0.9448953903
918	0.944586139
919	0.9443661885
920	0.9443048923
921	0.9442579042
922	0.9439976559
923	0.943801292
924	0.9437092217
925	0.9436314956
926	0.9434279269
927	0.943251664
928	0.9430933465
929	0.9428550273
930	0.9425928283
931	0.9424339815
932	0.9422603083
933	0.9421609331
934	0.9420377308
935	0.941939273
936	0.9417923998
937	0.9416011884
938	0.9414839803
939	0.9413031372
940	0.9411617752
941	0.9410924553
942	0.941004056
943	0.9408600222
944	0.9407679533
945	0.9406025442
946	0.9404638219
947	0.9403106914
948	0.9401045383
949	0.9399867488
950	0.9397124293
951	0.9394471805
952	0.9393236125
953	0.9391696478
954	0.9391094063
955	0.9390776575
956	0.9389825563
957	0.9387000339
958	0.9385845002
959	0.9384649006
960	0.9383114182
961	0.9381814745
962	0.9380611213
963	0.9378906167
964	0.9377810439
965	0.9376653687
966	0.9374544558
967	0.9373503662
968	0.9371701029
969	0.9369268715
970	0.9366512012
971	0.9365654548
972	0.9363433195
973	0.9362091481
974	0.9359489606
975	0.9358251348
976	0.9355884363
977	0.9353144087
978	0.9351802993
979	0.9348811689
980	0.9346510975
981	0.9344520343
982	0.9342800361
983	0.9341562235
984	0.9340728943
985	0.9338424633
986	0.933681918
987	0.9336527324
988	0.9335329321
989	0.9333007758
990	0.93306447
991	0.9329449799
992	0.9327810727
993	0.9326083073
994	0.9325584779
995	0.9324916414
996	0.9323749494
997	0.9322573051
998	0.9320884618
999	0.9319770144
